39	9998	3	9998	2	1	9998	9998	9998	9998	9998	0	1	0	1	1	0	0	0	0	0	72	75	72	73	71	72	72	73	74	74	74	74	7	9	1	72	2	75	1	1	9998	1	1	3	3	0	1	1	0	0	0	1	3	2	1986	0	2	1	5	110
40	9998	3	9998	2	1	9998	9998	9998	9998	9998	0	1	0	1	1	0	0	0	0	0	75	75	72	73	0	72	72	73	74	74	74	74	8	8	1	75	2	75	1	1	9998	1	2	1	2	1	1	0	0	1	1	1	3	4	1980	0	2	4	6	77
41	9998	3	9998	2	1	9998	9998	9998	9998	9998	0	1	0	1	1	0	0	0	0	0	75	75	72	73	71	72	72	73	74	74	74	74	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	77
42	4	1	2	3	5	9	6	7	8	10	0	1	1	1	1	0	0	0	0	0	72	72	72	73	71	72	72	73	74	72	73	74	3	10	0	74	3	99	1	1	9998	4	4	4	3	0	1	1	0	0	0	1	3	3	1984	0	1	4	6	213
43	9998	2	3	4	1	9998	9998	9998	9998	9998	0	1	0	1	1	0	0	0	0	0	72	74	72	73	0	72	72	73	74	72	73	74	10	10	1	75	2	75	1	1	9998	1	1	2	3	0	1	1	1	0	0	2	1	4	1980	0	1	2	6	41
44	7	1	4	3	2	10	8	9	5	6	0	1	0	0	0	0	0	0	0	0	72	72	72	73	71	72	72	73	74	72	73	74	9	9	1	72	2	72	1	1	9998	1	1	1	1	1	0	1	0	0	0	4	1	8	1985	0	2	4	5	24
45	9998	2	9998	1	3	9998	9998	5	4	9998	0	1	0	1	0	0	0	0	0	0	72	74	72	0	0	72	72	0	74	74	74	74	6	10	1	74	2	74	1	1	9998	1	3	1	2	1	1	1	0	1	1	1	3	1	1953	0	2	5	6	77
46	1	9998	2	9998	9998	9998	9998	9998	9998	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	77
47	5	1	4	2	3	10	6	8	7	9	0	1	0	1	1	0	0	0	0	0	72	72	72	73	71	72	72	73	74	72	74	74	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	77
48	4	3	1	9998	2	9998	9998	9998	9998	9998	1	1	1	0	1	0	0	0	0	0	73	73	72	73	71	73	72	73	71	72	73	74	9	10	0	99	2	73	1	8	9998	8	8	0	0	0	0	0	0	0	0	1	2	6	1972	0	2	3	6	107
